Created Timestamp,Preferred Marketplace,Country,Device Family,ASIN,Status
2024-04-06T17:03:09Z,US,US,Kindle E-reader,B00FO60CH6,1
2024-04-02T03:49:43Z,US,US,Kindle E-reader,B0BHLBHG79,1
2024-04-08T22:51:12Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T19:52:07Z,US,US,Kindle E-reader,Not Available,1
2024-03-31T13:11:56Z,US,US,Kindle E-reader,Not Available,1
2024-04-13T16:12:40Z,US,US,Kindle E-reader,Not Available,1
2024-04-07T17:53:02Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T19:12:31Z,US,US,Kindle E-reader,B00O6V45CS,1
2024-04-07T17:52:49Z,US,US,Kindle E-reader,Not Available,1
2024-04-02T01:27:27Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T19:47:10Z,US,US,Kindle E-reader,Not Available,1
2024-04-09T00:49:39Z,US,US,Kindle E-reader,B00QE1DLIC,1
2024-04-11T00:55:04Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T01:45:10Z,US,US,Kindle E-reader,B07ZFZZ2GQ,1
2024-04-04T23:38:36Z,US,US,Kindle E-reader,Not Available,1
2024-04-07T18:20:01Z,US,US,Kindle E-reader,B00N6PD7L0,1
2024-04-10T02:50:27Z,US,US,Kindle E-reader,Not Available,1
2024-03-31T00:24:11Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T14:16:43Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T01:51:04Z,US,US,Kindle E-reader,B00N6PD7L0,1
2024-04-02T01:28:21Z,US,US,Kindle E-reader,B0BHLBHG79,1
2024-03-30T21:36:36Z,US,US,Kindle E-reader,Not Available,1
2024-04-06T16:50:56Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T01:44:54Z,US,US,Kindle E-reader,Not Available,1
2024-04-10T01:43:00Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T22:50:26Z,US,US,Kindle E-reader,Not Available,1
2024-03-31T15:16:52Z,US,US,Kindle E-reader,Not Available,1
2024-04-06T00:52:19Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T18:57:32Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T15:30:42Z,US,US,Kindle E-reader,B00O6V45CS,1
2024-03-30T01:45:09Z,US,US,Kindle E-reader,B07ZFZZ2GQ,1
2024-04-06T02:19:17Z,US,US,Kindle E-reader,Not Available,1
2024-04-02T03:49:45Z,US,US,Kindle E-reader,B0BHLBHG79,1
2024-04-06T16:51:05Z,US,US,Kindle E-reader,Not Available,1
2024-04-06T22:48:42Z,US,US,Kindle E-reader,Not Available,1
2024-04-07T18:20:03Z,US,US,Kindle E-reader,B00N6PD7L0,1
2024-03-31T01:05:29Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T06:25:06Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T00:52:21Z,US,US,Kindle E-reader,Not Available,1
2024-03-31T15:31:27Z,US,US,Kindle E-reader,B09Z7BYZS3,1
2024-04-07T03:09:19Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T22:50:33Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T01:44:07Z,US,US,Kindle E-reader,Not Available,1
2024-04-11T00:55:34Z,US,US,Kindle E-reader,B01L7Q54NI,1
2024-04-11T00:55:35Z,US,US,Kindle E-reader,B01L7Q54NI,1
2024-03-31T15:31:22Z,US,US,Kindle E-reader,B09Z7BYZS3,1
2024-04-02T01:27:48Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T00:52:56Z,US,US,Kindle E-reader,B0CYWDS6CT,1
2024-03-30T00:52:45Z,US,US,Kindle E-reader,B0CYWDS6CT,1
2024-04-08T01:51:05Z,US,US,Kindle E-reader,B00N6PD7L0,1
2024-04-08T02:11:38Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T19:12:38Z,US,US,Kindle E-reader,B00O6V45CS,1
2024-03-30T00:54:03Z,US,US,Kindle E-reader,Not Available,1
2024-04-06T20:22:49Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T22:50:40Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T05:39:29Z,US,US,Kindle E-reader,Not Available,1
2024-03-30T01:05:28Z,US,US,Kindle E-reader,Not Available,1
2024-04-04T03:11:49Z,US,US,Kindle E-reader,Not Available,1
2024-04-07T17:53:12Z,US,US,Kindle E-reader,Not Available,1
2024-04-08T15:30:41Z,US,US,Kindle E-reader,B00O6V45CS,1
