created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2024-04-15T08:32:44Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,139,Yes
2024-04-03T08:32:29Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-07T17:52:44Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-03-30T00:51:06Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,0,Yes
2024-04-13T08:33:39Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-06T00:51:46Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-03-30T19:53:38Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,112,Yes
2024-04-11T00:54:54Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-13T08:33:39Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,19,Yes
2024-04-12T08:33:40Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-02T09:48:20Z,US,US,Kindle E-reader,B0BHLBHG79,Content stored in device,Total Books In Account,113,Yes
2024-04-02T09:48:20Z,US,US,Kindle E-reader,B0BHLBHG79,Content stored in device,Total Books Downloaded,8,Yes
2024-03-31T13:28:20Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-08T14:09:17Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-04T23:38:42Z,US,US,Kindle E-reader,B008WOTQGU,Content stored in device,Total Books Downloaded,7,Yes
2024-04-10T01:43:55Z,US,US,Kindle E-reader,B01LWVWGZW,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-12T08:33:40Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,136,Yes
2024-04-07T17:52:43Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,13,Yes
2024-04-15T20:07:38Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-02T09:48:20Z,US,US,Kindle E-reader,B0BHLBHG79,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-13T08:33:39Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,137,Yes
2024-04-07T17:52:44Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,130,Yes
2024-03-30T00:51:07Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,127,Yes
2024-04-15T20:07:38Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,20,Yes
2024-04-06T16:50:08Z,US,US,Kindle E-reader,B00BKK6E04,Content stored in device,Total Books Downloaded,10,Yes
2024-04-06T00:51:46Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,122,Yes
2024-03-30T19:53:38Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2024-04-10T01:43:55Z,US,US,Kindle E-reader,B01LWVWGZW,Content stored in device,Total Books Downloaded,16,Yes
2024-04-04T23:38:42Z,US,US,Kindle E-reader,B008WOTQGU,Content stored in device,Total Books In Account,121,Yes
2024-04-06T16:50:08Z,US,US,Kindle E-reader,B00BKK6E04,Content stored in device,Total Books In Account,124,Yes
2024-04-04T23:38:42Z,US,US,Kindle E-reader,B008WOTQGU,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-15T08:32:44Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-08T14:09:17Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,14,Yes
2024-04-15T08:32:44Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,21,Yes
2024-03-31T13:28:20Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Content stored in device,Total Books Downloaded,7,Yes
2024-04-08T14:09:17Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,131,Yes
2024-04-11T00:54:54Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,16,Yes
2024-04-10T01:43:55Z,US,US,Kindle E-reader,B01LWVWGZW,Content stored in device,Total Books In Account,133,Yes
2024-03-30T19:53:38Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-15T20:07:38Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,139,Yes
2024-03-30T00:51:06Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,3,Yes
2024-04-12T08:33:40Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,17,Yes
2024-04-03T08:32:28Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,7,Yes
2024-04-11T00:54:54Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,133,Yes
2024-03-31T13:28:20Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Content stored in device,Total Books In Account,113,Yes
2024-04-06T00:51:46Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,9,Yes
2024-04-03T08:32:29Z,US,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,113,Yes
2024-04-06T16:50:08Z,US,US,Kindle E-reader,B00BKK6E04,Content stored in device,Total Books Sideloaded,1,Yes
